zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Pisces,Is stress affecting my body more than I realize?,Eight of Wands,Six of Cups,Page of Wands,"Reading:  The Eight of Wands suggests things are moving quickly, adding to your stress.  The Six of Cups hints at nostalgia, perhaps you're dwelling on the past. The Page of Wands encourages you to channel this energy creatively. Try to find a healthy outlet.",health,NEGATIVE,POSITIVE
Cancer,What emotional blocks are impacting my health?,Queen of Wands,King of Cups,Strength,"Reading:  Cancer, the Queen of Wands suggests you're holding back creative expression.  The King of Cups and Strength indicate you're suppressing emotions, creating internal stress. Let it out to improve your well-being.",health,NEGATIVE,NEGATIVE
Capricorn,What emotional blocks are impacting my health?,Ace of Cups,Knight of Cups,Strength,"Reading:  The Ace and Knight of Cups suggest you're holding back emotions, Capricorn.  Strength shows you have the power to process them.  Let yourself feel things to boost your well-being.",health,NEGATIVE,POSITIVE
Taurus,How can I create a deeper mind-body connection?,Knight of Wands,Five of Pentacles,Knight of Cups,"Reading:  Taurus, the Knight of Wands encourages passionate action towards physical activity you enjoy.  The Five of Pentacles suggests releasing feelings of inadequacy around your body. The Knight of Cups invites gentle exploration of your emotional landscape.  Focus on joyful movement and self-compassion.",health,NEGATIVE,POSITIVE
Sagittarius,Am I ignoring signs from my body?,Strength,Seven of Wands,King of Wands,"Reading:  Strength shows you have inner resilience, but the Seven of Wands suggests you're pushing through discomfort.  The King of Wands confirms this driven nature, possibly to a fault. Listen to your body's signals; it's telling you something important.",health,NEGATIVE,POSITIVE
Leo,How can I better manage my emotional health?,Three of Wands,Queen of Swords,Eight of Pentacles,"Reading:  Leo, the Three of Wands suggests exploring new self-care practices. The Queen of Swords encourages setting healthy boundaries. The Eight of Pentacles points to consistent effort and self-discipline. Focus on routine and clear communication.",health,NEGATIVE,POSITIVE
Aquarius,What health habits should I avoid?,Three of Swords,Ace of Swords,Two of Wands,"Aquarius, the Three of Swords suggests avoiding wallowing in negativity about your body.  The Ace of Swords and Two of Wands point to overplanning and stressing about perfect routines.  Focus on finding a healthy balance and listen to your body.",health,NEGATIVE,POSITIVE
Aquarius,Am I ignoring signs from my body?,Four of Cups,Ace of Cups,Five of Cups,"Aquarius, you're feeling emotionally withdrawn (Four of Cups) and possibly overlooking a new emotional opportunity (Ace of Cups) while focusing on past disappointments (Five of Cups).  Your body might be reflecting this emotional state. Pay attention to your physical and emotional needs.",health,NEGATIVE,POSITIVE
Aquarius,How can I better support my physical well-being?,Three of Cups,Three of Wands,The Empress,Reading:  The Three of Cups suggests finding joy in shared activities. The Three of Wands points to expanding your horizons and trying new things.  The Empress encourages nurturing yourself with healthy habits.  Focus on joyful movement and nourishing routines.,health,NEGATIVE,POSITIVE
Pisces,What small changes will make the biggest difference to my health?,The Empress,Six of Cups,Knight of Cups,"Reading:  The Empress suggests nurturing yourself with simple pleasures.  Six of Cups points to finding joy in past healthy habits. The Knight of Cups encourages following your heart towards emotional and physical wellness.  Reconnect with activities you love for a healthier, happier you.",health,NEGATIVE,POSITIVE
Virgo,Will my health improve soon?,The Hermit,Seven of Wands,Wheel of Fortune,"Virgo, your health journey requires introspection (The Hermit) and overcoming some challenges (Seven of Wands).  Luckily, change and improvement are on the horizon (Wheel of Fortune).  Focus on self-care and stay positive.",health,POSITIVE,POSITIVE
Taurus,What energy is surrounding my current health status?,Eight of Pentacles,Death,Ace of Swords,"Taurus, your health needs consistent work (Eight of Pentacles) and a major transformation (Death).  A new mental clarity will be key (Ace of Swords). Focus on building new routines and perspectives.",health,NEGATIVE,POSITIVE
Sagittarius,Am I neglecting any part of my well-being?,Knight of Pentacles,Page of Pentacles,Eight of Cups,"Reading:  You're grounded and working hard, but your emotional cup feels empty.  This suggests you're focusing on practical matters and overlooking your feelings.  Nurture your emotional well-being.",health,NEGATIVE,NEGATIVE
Sagittarius,How can I find motivation to take better care of myself?,Two of Pentacles,Strength,The Star,"Reading:  Sagittarius, you're juggling a lot (Two of Pentacles), but you have the inner power to prioritize your wellbeing (Strength).  Hope and renewal are on the horizon (The Star).  Focus on small, manageable steps.",health,NEGATIVE,POSITIVE
Leo,What do I need to know about my current health?,Five of Wands,The Hermit,Four of Wands,"Reading:  Leo, you're experiencing some minor conflicts related to your well-being, possibly disagreements about lifestyle choices. Time alone will bring clarity and help you understand your body's needs.  A stable foundation for health is within reach.  Prioritize rest and reflection.",health,NEGATIVE,POSITIVE
Pisces,Will my healing be quick or slow?,Wheel of Fortune,Three of Pentacles,The Hermit,"Reading:  Pisces, the Wheel of Fortune shows change is constant, but the Three of Pentacles suggests steady progress.  The Hermit points to some needed introspection.  Focus on self-reflection to support the healing process.",health,NEGATIVE,POSITIVE
Capricorn,How can I release anxiety and find peace?,The Magician,Queen of Swords,Nine of Cups,"Capricorn, you have the tools to control your thoughts (The Magician).  Be honest with yourself and set clear boundaries (Queen of Swords).  Emotional fulfillment is within reach (Nine of Cups).  Focus on what you *can* control, not what you can't.",health,NEGATIVE,POSITIVE
Taurus,What energy is surrounding my current health status?,Three of Wands,Knight of Swords,Ten of Swords,"Reading:  You've started a health journey, but rushing into it may lead to burnout.  Consider slowing down and being more strategic about your approach.  There's potential for success if you prioritize sustainable change.  Be patient with yourself.",health,NEGATIVE,NEGATIVE
Scorpio,Am I neglecting any part of my well-being?,Ten of Wands,Page of Swords,Five of Pentacles,"Reading:  Scorpio, you're carrying a heavy load (Ten of Wands) and overthinking things (Page of Swords), leading to some feelings of vulnerability (Five of Pentacles).  You may be neglecting your mental and emotional well-being.  Try delegating tasks and practicing mindfulness.",health,NEGATIVE,NEGATIVE
Gemini,Will my healing be quick or slow?,Temperance,Knight of Swords,The Lovers,"Gemini, Temperance suggests a balanced approach will be key.  The Knight of Swords indicates some swift progress, but The Lovers highlights a choice that may impact the timeline.  Be patient and choose wisely.",health,NEGATIVE,POSITIVE
Sagittarius,What health habits should I avoid?,Three of Swords,Four of Pentacles,Ace of Pentacles,"Sagittarius, the Three of Swords suggests releasing harmful thought patterns about your body. The Four of Pentacles points to loosening your grip on restrictive diets. The Ace of Pentacles encourages embracing new, joyful movement.  Focus on adding healthy habits, not restricting yourself.",health,NEGATIVE,POSITIVE
Gemini,What energy is surrounding my current health status?,Eight of Wands,Eight of Swords,The Hanged Man,"Reading:  Gemini, you're feeling restricted and stuck regarding your health (Hanged Man), despite a desire for fast progress (Eight of Wands).  Mental blocks or limiting beliefs (Eight of Swords) might be holding you back.  Reframe your thoughts and seek support to move forward.",health,NEGATIVE,NEGATIVE
Virgo,How can I cultivate more self-care in my life?,Ace of Pentacles,Judgement,Nine of Wands,"Reading:  The Ace of Pentacles suggests grounding yourself with practical, physical self-care. Judgement encourages honest reflection on past habits to move forward.  The Nine of Wands shows you have the strength to maintain these new routines.  Start small and be consistent.",health,NEGATIVE,POSITIVE
Scorpio,How can I find motivation to take better care of myself?,Three of Cups,The Hierophant,Two of Wands,"Reading:  Scorpio, the Three of Cups suggests finding joy in shared self-care activities. The Hierophant points to establishing routines and healthy habits.  The Two of Wands encourages you to explore different wellness options to discover what truly excites you. Make self-care fun and social, stick to a plan, and explore your options.",health,NEGATIVE,POSITIVE
Libra,How can I develop a better sleep routine?,Seven of Wands,Ten of Wands,Ten of Pentacles,"Libra, the Seven of Wands suggests you need to defend your sleep time.  The Ten of Wands shows you're overburdened, making rest difficult. The Ten of Pentacles points to the long-term stability a good routine will bring.  Prioritize rest like any other important appointment.",health,NEGATIVE,POSITIVE
Cancer,How can I release anxiety and find peace?,The Chariot,Eight of Cups,King of Pentacles,"Cancer, The Chariot suggests taking control of your thoughts.  Walking away from draining situations (Eight of Cups) builds emotional resilience. The King of Pentacles encourages practical grounding activities. Focus on achievable actions to feel more stable.",health,NEGATIVE,POSITIVE
